TIMESTEP:    0.01
NPERIODS:    2
ALPHA:       0.01
PHI:         1
X0:          0
Z0:          0
               TIME:                   X                   Z
                   0                   0                   0
                0.01         2.01985e-06         0.000117519
                0.02         5.38607e-06         0.000235038
                0.03         1.00984e-05         0.000352548
                0.04         1.61566e-05         0.000470041
                0.05         2.35602e-05         0.000587507
                0.06         3.23087e-05         0.000704937
                0.07         4.24013e-05         0.000822323
                0.08         5.38375e-05         0.000939656
                0.09         6.66164e-05          0.00105693
                 0.1         8.07369e-05          0.00117413
                0.11         9.61982e-05          0.00129124
                0.12         0.000112999          0.00140827
                0.13         0.000131138          0.00152521
                0.14         0.000150614          0.00164203
                0.15         0.000171426          0.00175874
                0.16         0.000193571          0.00187532
                0.17         0.000217049          0.00199177
                0.18         0.000241857          0.00210808
                0.19         0.000267995          0.00222424
                 0.2         0.000295458          0.00234024
                0.21         0.000324247          0.00245606
                0.22         0.000354358          0.00257171
                0.23          0.00038579          0.00268718
                0.24         0.000418539          0.00280245
                0.25         0.000452604          0.00291751
                0.26         0.000487982          0.00303236
                0.27         0.000524671          0.00314699
                0.28         0.000562667          0.00326139
                0.29         0.000601967          0.00337555
                 0.3          0.00064257          0.00348946
                0.31         0.000684471          0.00360312
                0.32         0.000727668          0.00371651
                0.33         0.000772157          0.00382963
                0.34         0.000817936          0.00394246
                0.35            0.000865            0.004055
                0.36         0.000913346          0.00416725
                0.37         0.000962971          0.00427918
                0.38          0.00101387           0.0043908
                0.39          0.00106604           0.0045021
                 0.4          0.00111948          0.00461306
                0.41          0.00117418          0.00472368
                0.42          0.00123014          0.00483395
                0.43          0.00128735          0.00494386
                0.44          0.00134582           0.0050534
                0.45          0.00140553          0.00516257
                0.46          0.00146648          0.00527135
                0.47          0.00152867          0.00537974
                0.48          0.00159209          0.00548773
                0.49          0.00165674          0.00559532
                 0.5          0.00172261          0.00570248
                0.51           0.0017897          0.00580922
                0.52            0.001858          0.00591553
                0.53          0.00192752           0.0060214
                0.54          0.00199823          0.00612682
                0.55          0.00207014          0.00623178
                0.56          0.00214324          0.00633627
                0.57          0.00221753          0.00644029
                0.58            0.002293          0.00654383
                0.59          0.00236964          0.00664689
                 0.6          0.00244746          0.00674944
                0.61          0.00252643          0.00685149
                0.62          0.00260657          0.00695303
                0.63          0.00268786          0.00705405
                0.64          0.00277029          0.00715454
                0.65          0.00285386           0.0072545
                0.66          0.00293857          0.00735391
                0.67           0.0030244          0.00745277
                0.68          0.00311135          0.00755107
                0.69          0.00319942          0.00764881
                 0.7          0.00328859          0.00774597
                0.71          0.00337886          0.00784256
                0.72          0.00347023          0.00793856
                0.73          0.00356269          0.00803396
                0.74          0.00365622          0.00812876
                0.75          0.00375083          0.00822295
                0.76          0.00384651          0.00831652
                0.77          0.00394324          0.00840947
                0.78          0.00404102          0.00850178
                0.79          0.00413985          0.00859346
                 0.8          0.00423972           0.0086845
                0.81          0.00434062          0.00877488
                0.82          0.00444254          0.00886461
                0.83          0.00454547          0.00895366
                0.84          0.00464941          0.00904205
                0.85          0.00475435          0.00912976
                0.86          0.00486028          0.00921678
                0.87          0.00496719          0.00930311
                0.88          0.00507508          0.00938874
                0.89          0.00518393          0.00947366
                 0.9          0.00529375          0.00955788
                0.91          0.00540451          0.00964137
                0.92          0.00551622          0.00972414
                0.93          0.00562886          0.00980618
                0.94          0.00574243          0.00988748
                0.95          0.00585691          0.00996804
                0.96          0.00597231           0.0100478
                0.97           0.0060886           0.0101269
                0.98          0.00620579           0.0102052
                0.99          0.00632386           0.0102827
                   1           0.0064428           0.0103595
                1.01          0.00656261           0.0104354
                1.02          0.00668327           0.0105106
                1.03          0.00680478            0.010585
                1.04          0.00692713           0.0106586
                1.05          0.00705031           0.0107314
                1.06          0.00717431           0.0108034
                1.07          0.00729912           0.0108746
                1.08          0.00742473           0.0109449
                1.09          0.00755113           0.0110145
                 1.1          0.00767832           0.0110832
                1.11          0.00780627            0.011151
                1.12          0.00793499           0.0112181
                1.13          0.00806447           0.0112842
                1.14          0.00819469           0.0113496
                1.15          0.00832564            0.011414
                1.16          0.00845732           0.0114777
                1.17          0.00858972           0.0115404
                1.18          0.00872282           0.0116023
                1.19          0.00885661           0.0116633
                 1.2          0.00899109           0.0117235
                1.21          0.00912625           0.0117827
                1.22          0.00926207           0.0118411
                1.23          0.00939854           0.0118985
                1.24          0.00953566           0.0119551
                1.25          0.00967342           0.0120108
                1.26           0.0098118           0.0120655
                1.27          0.00995079           0.0121194
                1.28           0.0100904           0.0121724
                1.29           0.0102306           0.0122244
                 1.3           0.0103714           0.0122755
