TIMESTEP:    0.01
NPERIODS:    1
ALPHA:       0.1
PHI:         1
X0:          0
Z0:          0
               TIME:                   X                   Z
                   0                   0                   0
                0.01         2.01951e-05            0.001176
                0.02         5.38491e-05          0.00235365
                0.03         0.000100963          0.00353284
                0.04         0.000161536          0.00471351
                0.05         0.000235568          0.00589556
                0.06         0.000323057           0.0070789
                0.07         0.000423999          0.00826346
                0.08         0.000538391          0.00944914
                0.09         0.000666227           0.0106359
                 0.1         0.000807503           0.0118235
                0.11         0.000962211           0.0130121
                0.12          0.00113034           0.0142014
                0.13          0.00131189           0.0153914
                0.14          0.00150685           0.0165821
                0.15           0.0017152           0.0177732
                0.16          0.00193694           0.0189648
                0.17          0.00217205           0.0201568
                0.18          0.00242052            0.021349
                0.19          0.00268233           0.0225414
                 0.2          0.00295748           0.0237339
                0.21          0.00324594           0.0249264
                0.22          0.00354769           0.0261188
                0.23          0.00386273            0.027311
                0.24          0.00419103           0.0285031
                0.25          0.00453258           0.0296947
                0.26          0.00488734            0.030886
                0.27          0.00525531           0.0320767
                0.28          0.00563646           0.0332668
                0.29          0.00603076           0.0344563
                 0.3           0.0064382            0.035645
                0.31          0.00685874           0.0368328
                0.32          0.00729237           0.0380197
                0.33          0.00773906           0.0392056
                0.34          0.00819877           0.0403904
                0.35          0.00867149            0.041574
                0.36          0.00915718           0.0427563
                0.37          0.00965582           0.0439372
                0.38           0.0101674           0.0451167
                0.39           0.0106918           0.0462947
                 0.4           0.0112291            0.047471
                0.41           0.0117792           0.0486456
                0.42           0.0123421           0.0498185
                0.43           0.0129177           0.0509894
                0.44           0.0135061           0.0521584
                0.45           0.0141071           0.0533254
                0.46           0.0147208           0.0544902
                0.47           0.0153471           0.0556529
                0.48           0.0159859           0.0568132
                0.49           0.0166373           0.0579712
                 0.5           0.0173012           0.0591266
                0.51           0.0179775           0.0602796
                0.52           0.0186662           0.0614299
                0.53           0.0193673           0.0625776
                0.54           0.0200807           0.0637224
                0.55           0.0208064           0.0648643
                0.56           0.0215444           0.0660033
                0.57           0.0222945           0.0671393
                0.58           0.0230567           0.0682721
                0.59           0.0238311           0.0694018
                 0.6           0.0246175           0.0705281
                0.61            0.025416           0.0716511
                0.62           0.0262263           0.0727707
                0.63           0.0270486           0.0738867
                0.64           0.0278828           0.0749991
                0.65           0.0287287           0.0761079
                0.66           0.0295864           0.0772128
                0.67           0.0304558            0.078314
                0.68           0.0313369           0.0794112
                0.69           0.0322296           0.0805044
                 0.7           0.0331338           0.0815935
                0.71           0.0340495           0.0826785
                0.72           0.0349766           0.0837592
                0.73           0.0359151           0.0848356
                0.74           0.0368649           0.0859076
                0.75            0.037826           0.0869752
                0.76           0.0387984           0.0880382
                0.77           0.0397818           0.0890966
                0.78           0.0407764           0.0901503
                0.79           0.0417819           0.0911993
                 0.8           0.0427985           0.0922434
                0.81           0.0438259           0.0932825
                0.82           0.0448643           0.0943167
                0.83           0.0459134           0.0953458
                0.84           0.0469732           0.0963697
                0.85           0.0480437           0.0973885
                0.86           0.0491247           0.0984019
                0.87           0.0502164             0.09941
                0.88           0.0513184            0.100413
                0.89           0.0524309             0.10141
                 0.9           0.0535537            0.102401
                0.91           0.0546868            0.103387
                0.92           0.0558301            0.104368
                0.93           0.0569835            0.105342
                0.94            0.058147             0.10631
                0.95           0.0593205            0.107273
                0.96           0.0605039             0.10823
                0.97           0.0616972             0.10918
                0.98           0.0629003            0.110125
                0.99           0.0641131            0.111063
                   1           0.0653355            0.111995
                1.01           0.0665675            0.112921
                1.02            0.067809             0.11384
                1.03           0.0690599            0.114752
                1.04           0.0703202            0.115659
                1.05           0.0715897            0.116558
                1.06           0.0728685            0.117451
                1.07           0.0741564            0.118338
                1.08           0.0754533            0.119217
                1.09           0.0767593             0.12009
                 1.1           0.0780741            0.120955
                1.11           0.0793977            0.121814
                1.12           0.0807301            0.122666
                1.13           0.0820712             0.12351
                1.14           0.0834209            0.124348
                1.15            0.084779            0.125178
                1.16           0.0861456            0.126001
                1.17           0.0875206            0.126816
                1.18           0.0889038            0.127625
                1.19           0.0902952            0.128425
                 1.2           0.0916948            0.129219
                1.21           0.0931023            0.130004
                1.22           0.0945178            0.130782
                1.23           0.0959412            0.131553
                1.24           0.0973724            0.132315
                1.25           0.0988112             0.13307
                1.26            0.100258            0.133817
                1.27            0.101712            0.134556
                1.28            0.103173            0.135288
                1.29            0.104642            0.136011
                 1.3            0.106118            0.136726
                1.31            0.107601            0.137433
                1.32            0.109092            0.138132
                1.33            0.110589            0.138822
                1.34            0.112093            0.139505
                1.35            0.113605            0.140179
