TIMESTEP:    0.01
NPERIODS:    1
ALPHA:       0.01
PHI:         0.8
X0:          0
Z0:          0
               TIME:                   X                   Z
                   0                   0                   0
                0.01         1.16971e-06         7.10471e-05
                0.02         3.11912e-06         0.000142093
                0.03         5.84813e-06         0.000213133
                0.04         9.35658e-06         0.000284165
                0.05         1.36443e-05         0.000355183
                0.06          1.8711e-05         0.000426185
                0.07         2.45564e-05         0.000497167
                0.08         3.11803e-05         0.000568125
                0.09         3.85822e-05         0.000639054
                 0.1         4.67618e-05         0.000709952
                0.11         5.57186e-05         0.000780815
                0.12         6.54521e-05         0.000851639
                0.13         7.59618e-05         0.000922419
                0.14         8.72472e-05         0.000993153
                0.15         9.93076e-05          0.00106384
                0.16         0.000112142          0.00113447
                0.17         0.000125751          0.00120504
                0.18         0.000140132          0.00127555
                0.19         0.000155286          0.00134599
                 0.2         0.000171211          0.00141637
                0.21         0.000187907          0.00148667
                0.22         0.000205372          0.00155689
                0.23         0.000223606          0.00162704
                0.24         0.000242608           0.0016971
                0.25         0.000262376          0.00176707
                0.26          0.00028291          0.00183695
                0.27         0.000304209          0.00190674
                0.28         0.000326271          0.00197643
                0.29         0.000349096          0.00204601
                 0.3         0.000372681          0.00211549
                0.31         0.000397027          0.00218486
                0.32          0.00042213          0.00225411
                0.33         0.000447991          0.00232325
                0.34         0.000474608          0.00239227
                0.35         0.000501979          0.00246116
                0.36         0.000530103          0.00252992
                0.37         0.000558979          0.00259855
                0.38         0.000588604          0.00266705
                0.39         0.000618978           0.0027354
                 0.4         0.000650099          0.00280362
                0.41         0.000681964          0.00287168
                0.42         0.000714573           0.0029396
                0.43         0.000747924          0.00300736
                0.44         0.000782014          0.00307497
                0.45         0.000816843          0.00314241
                0.46         0.000852407          0.00320969
                0.47         0.000888706           0.0032768
                0.48         0.000925738          0.00334374
                0.49           0.0009635           0.0034105
                 0.5          0.00100199          0.00347709
                0.51          0.00104121          0.00354349
                0.52          0.00108115          0.00360971
                0.53          0.00112181          0.00367574
                0.54           0.0011632          0.00374157
                0.55           0.0012053          0.00380721
                0.56          0.00124811          0.00387265
                0.57          0.00129164          0.00393788
                0.58          0.00133589          0.00400291
                0.59          0.00138084          0.00406773
                 0.6          0.00142649          0.00413233
                0.61          0.00147285          0.00419672
                0.62          0.00151991          0.00426088
                0.63          0.00156768          0.00432483
                0.64          0.00161613          0.00438854
                0.65          0.00166529          0.00445203
                0.66          0.00171513          0.00451528
                0.67          0.00176566          0.00457829
                0.68          0.00181688          0.00464106
                0.69          0.00186878          0.00470359
                 0.7          0.00192136          0.00476587
                0.71          0.00197462           0.0048279
                0.72          0.00202855          0.00488967
                0.73          0.00208316          0.00495119
                0.74          0.00213844          0.00501244
                0.75          0.00219438          0.00507344
                0.76          0.00225099          0.00513416
                0.77          0.00230825          0.00519462
                0.78          0.00236618           0.0052548
                0.79          0.00242475          0.00531471
                 0.8          0.00248398          0.00537433
                0.81          0.00254386          0.00543367
                0.82          0.00260438          0.00549273
                0.83          0.00266555          0.00555149
                0.84          0.00272735          0.00560997
                0.85          0.00278979          0.00566815
                0.86          0.00285286          0.00572603
                0.87          0.00291656           0.0057836
                0.88          0.00298089          0.00584088
                0.89          0.00304583          0.00589784
                 0.9           0.0031114          0.00595449
                0.91          0.00317758          0.00601083
                0.92          0.00324437          0.00606686
                0.93          0.00331177          0.00612256
                0.94          0.00337978          0.00617794
                0.95          0.00344838          0.00623299
                0.96          0.00351759          0.00628772
                0.97          0.00358739          0.00634211
                0.98          0.00365777          0.00639617
                0.99          0.00372875          0.00644989
                   1           0.0038003          0.00650328
                1.01          0.00387244          0.00655632
                1.02          0.00394515          0.00660901
                1.03          0.00401843          0.00666135
                1.04          0.00409228          0.00671334
                1.05           0.0041667          0.00676498
                1.06          0.00424167          0.00681626
                1.07           0.0043172          0.00686719
                1.08          0.00439328          0.00691774
                1.09          0.00446991          0.00696794
                 1.1          0.00454708          0.00701776
                1.11          0.00462479          0.00706722
                1.12          0.00470304           0.0071163
                1.13          0.00478182          0.00716501
                1.14          0.00486113          0.00721334
                1.15          0.00494096          0.00726129
                1.16          0.00502131          0.00730885
                1.17          0.00510217          0.00735603
                1.18          0.00518355          0.00740282
                1.19          0.00526543          0.00744922
                 1.2          0.00534781          0.00749523
                1.21          0.00543069          0.00754084
                1.22          0.00551407          0.00758605
                1.23          0.00559793          0.00763086
                1.24          0.00568228          0.00767527
                1.25          0.00576711          0.00771927
                1.26          0.00585241          0.00776287
                1.27          0.00593819          0.00780605
                1.28          0.00602443          0.00784883
                1.29          0.00611113          0.00789119
