TIMESTEP:    0.01
NPERIODS:    1
ALPHA:       0.01
PHI:         2
X0:          0
Z0:          0
               TIME:                   X                   Z
                   0                   0                   0
                0.01         1.56724e-05         0.000725755
                0.02         4.18009e-05          0.00145233
                0.03         7.83942e-05          0.00217957
                0.04         0.000125459          0.00290736
                0.05         0.000182999          0.00363556
                0.06         0.000251018          0.00436402
                0.07         0.000329516          0.00509261
                0.08         0.000418492          0.00582119
                0.09         0.000517943          0.00654963
                 0.1         0.000627863          0.00727778
                0.11         0.000748245          0.00800552
                0.12         0.000879081           0.0087327
                0.13          0.00102036          0.00945918
                0.14          0.00117206           0.0101848
                0.15          0.00133418           0.0109095
                0.16           0.0015067           0.0116331
                0.17           0.0016896           0.0123555
                0.18          0.00188285           0.0130764
                0.19          0.00208644           0.0137959
                 0.2          0.00230034           0.0145137
                0.21          0.00252452           0.0152298
                0.22          0.00275895           0.0159439
                0.23          0.00300361           0.0166559
                0.24          0.00325847           0.0173658
                0.25          0.00352348           0.0180734
                0.26          0.00379861           0.0187785
                0.27          0.00408383            0.019481
                0.28          0.00437909           0.0201809
                0.29          0.00468435           0.0208778
                 0.3          0.00499957           0.0215718
                0.31          0.00532471           0.0222627
                0.32          0.00565971           0.0229503
                0.33          0.00600453           0.0236346
                0.34          0.00635912           0.0243154
                0.35          0.00672342           0.0249925
                0.36          0.00709738           0.0256659
                0.37          0.00748095           0.0263355
                0.38          0.00787406            0.027001
                0.39          0.00827665           0.0276624
                 0.4          0.00868867           0.0283195
                0.41          0.00911005           0.0289723
                0.42          0.00954073           0.0296205
                0.43          0.00998064           0.0302641
                0.44           0.0104297            0.030903
                0.45           0.0108879           0.0315371
                0.46            0.011355           0.0321661
                0.47           0.0118312           0.0327901
                0.48           0.0123162           0.0334088
                0.49             0.01281           0.0340222
                 0.5           0.0133125           0.0346301
                0.51           0.0138236           0.0352325
                0.52           0.0143433           0.0358292
                0.53           0.0148715           0.0364202
                0.54            0.015408           0.0370052
                0.55           0.0159529           0.0375842
                0.56            0.016506           0.0381571
                0.57           0.0170671           0.0387238
                0.58           0.0176364           0.0392841
                0.59           0.0182136            0.039838
                 0.6           0.0187986           0.0403854
                0.61           0.0193913           0.0409261
                0.62           0.0199918           0.0414601
                0.63           0.0205998           0.0419872
                0.64           0.0212152           0.0425074
                0.65            0.021838           0.0430205
                0.66           0.0224681           0.0435265
                0.67           0.0231053           0.0440253
                0.68           0.0237496           0.0445168
                0.69           0.0244008           0.0450008
                 0.7           0.0250589           0.0454773
                0.71           0.0257237           0.0459462
                0.72           0.0263951           0.0464075
                0.73            0.027073            0.046861
                0.74           0.0277573           0.0473066
                0.75           0.0284479           0.0477442
                0.76           0.0291447           0.0481739
                0.77           0.0298475           0.0485954
                0.78           0.0305563           0.0490088
                0.79           0.0312708           0.0494138
                 0.8           0.0319911           0.0498106
                0.81            0.032717           0.0501989
                0.82           0.0334483           0.0505788
                0.83            0.034185           0.0509501
                0.84           0.0349269           0.0513128
                0.85           0.0356739           0.0516668
                0.86           0.0364258            0.052012
                0.87           0.0371826           0.0523484
                0.88           0.0379441           0.0526759
                0.89           0.0387102           0.0529945
                 0.9           0.0394808           0.0533041
                0.91           0.0402557           0.0536046
                0.92           0.0410348            0.053896
                0.93            0.041818           0.0541781
                0.94           0.0426051           0.0544511
                0.95           0.0433961           0.0547148
                0.96           0.0441907           0.0549692
                0.97           0.0449889           0.0552141
                0.98           0.0457905           0.0554497
                0.99           0.0465953           0.0556758
                   1           0.0474033           0.0558924
                1.01           0.0482143           0.0560994
                1.02           0.0490282           0.0562968
                1.03           0.0498449           0.0564846
                1.04           0.0506641           0.0566628
                1.05           0.0514858           0.0568312
                1.06           0.0523098             0.05699
                1.07            0.053136           0.0571389
                1.08           0.0539642           0.0572781
                1.09           0.0547943           0.0574075
                 1.1           0.0556262           0.0575271
                1.11           0.0564598           0.0576367
                1.12           0.0572948           0.0577365
                1.13           0.0581312           0.0578265
                1.14           0.0589688           0.0579065
                1.15           0.0598074           0.0579765
                1.16            0.060647           0.0580367
                1.17           0.0614873           0.0580868
                1.18           0.0623283            0.058127
                1.19           0.0631698           0.0581573
                 1.2           0.0640117           0.0581776
                1.21           0.0648537           0.0581879
                1.22           0.0656959           0.0581882
                1.23           0.0665379           0.0581785
                1.24           0.0673798           0.0581588
                1.25           0.0682213           0.0581292
                1.26           0.0690624           0.0580896
                1.27           0.0699027           0.0580401
                1.28           0.0707424           0.0579806
                1.29           0.0715811           0.0579111
                 1.3           0.0724187           0.0578317
                1.31           0.0732552           0.0577424
