TIMESTEP:    0.01
NPERIODS:    1
ALPHA:       0.01
PHI:         1
X0:          0
Z0:          -0.1
               TIME:                   X                   Z
                   0                   0                -0.1
                0.01         1.87587e-06          -0.0998974
                0.02          5.0021e-06          -0.0997947
                0.03         9.37846e-06          -0.0996921
                0.04         1.50046e-05          -0.0995894
                0.05         2.18802e-05          -0.0994868
                0.06         3.00046e-05          -0.0993843
                0.07         3.93772e-05          -0.0992817
                0.08         4.99974e-05          -0.0991793
                0.09         6.18644e-05          -0.0990768
                 0.1         7.49771e-05          -0.0989745
                0.11         8.93348e-05          -0.0988722
                0.12         0.000104936            -0.09877
                0.13          0.00012178          -0.0986679
                0.14         0.000139865          -0.0985658
                0.15         0.000159191          -0.0984639
                0.16         0.000179754          -0.0983621
                0.17         0.000201555          -0.0982604
                0.18         0.000224591          -0.0981588
                0.19          0.00024886          -0.0980574
                 0.2         0.000274361          -0.0979561
                0.21         0.000301092          -0.0978549
                0.22         0.000329051          -0.0977539
                0.23         0.000358235          -0.0976531
                0.24         0.000388643          -0.0975524
                0.25         0.000420272           -0.097452
                0.26          0.00045312          -0.0973517
                0.27         0.000487183          -0.0972516
                0.28         0.000522461          -0.0971517
                0.29         0.000558949           -0.097052
                 0.3         0.000596646          -0.0969525
                0.31         0.000635549          -0.0968533
                0.32         0.000675653          -0.0967543
                0.33         0.000716957          -0.0966555
                0.34         0.000759458           -0.096557
                0.35         0.000803151          -0.0964587
                0.36         0.000848035          -0.0963607
                0.37         0.000894105           -0.096263
                0.38         0.000941358          -0.0961655
                0.39          0.00098979          -0.0960684
                 0.4           0.0010394          -0.0959715
                0.41          0.00109018          -0.0958749
                0.42          0.00114213          -0.0957786
                0.43          0.00119524          -0.0956827
                0.44          0.00124951           -0.095587
                0.45          0.00130494          -0.0954917
                0.46          0.00136152          -0.0953968
                0.47          0.00141925          -0.0953021
                0.48          0.00147812          -0.0952079
                0.49          0.00153813          -0.0951139
                 0.5          0.00159928          -0.0950204
                0.51          0.00166155          -0.0949272
                0.52          0.00172495          -0.0948344
                0.53          0.00178947           -0.094742
                0.54          0.00185511            -0.09465
                0.55          0.00192186          -0.0945584
                0.56          0.00198971          -0.0944671
                0.57          0.00205866          -0.0943763
                0.58          0.00212871           -0.094286
                0.59          0.00219985           -0.094196
                 0.6          0.00227207          -0.0941065
                0.61          0.00234537          -0.0940174
                0.62          0.00241975          -0.0939288
                0.63          0.00249519          -0.0938406
                0.64           0.0025717          -0.0937529
                0.65          0.00264926          -0.0936657
                0.66          0.00272787          -0.0935789
                0.67          0.00280753          -0.0934926
                0.68          0.00288823          -0.0934068
                0.69          0.00296996          -0.0933215
                 0.7          0.00305272          -0.0932368
                0.71           0.0031365          -0.0931525
                0.72          0.00322129          -0.0930687
                0.73          0.00330709          -0.0929854
                0.74          0.00339389          -0.0929027
                0.75          0.00348169          -0.0928205
                0.76          0.00357048          -0.0927389
                0.77          0.00366024          -0.0926578
                0.78          0.00375099          -0.0925772
                0.79           0.0038427          -0.0924972
                 0.8          0.00393537          -0.0924178
                0.81          0.00402899          -0.0923389
                0.82          0.00412357          -0.0922606
                0.83          0.00421908          -0.0921829
                0.84          0.00431553          -0.0921058
                0.85           0.0044129          -0.0920293
                0.86           0.0045112          -0.0919534
                0.87           0.0046104           -0.091878
                0.88          0.00471051          -0.0918033
                0.89          0.00481151          -0.0917293
                 0.9           0.0049134          -0.0916558
                0.91          0.00501618           -0.091583
                0.92          0.00511982          -0.0915108
                0.93          0.00522434          -0.0914392
                0.94          0.00532971          -0.0913683
                0.95          0.00543593           -0.091298
                0.96          0.00554299          -0.0912284
                0.97          0.00565089          -0.0911594
                0.98          0.00575961          -0.0910912
                0.99          0.00586915          -0.0910235
                   1           0.0059795          -0.0909566
                1.01          0.00609066          -0.0908903
                1.02           0.0062026          -0.0908248
                1.03          0.00631533          -0.0907599
                1.04          0.00642884          -0.0906957
                1.05          0.00654312          -0.0906322
                1.06          0.00665815          -0.0905695
                1.07          0.00677394          -0.0905074
                1.08          0.00689047          -0.0904461
