TIMESTEP:    0.01
NPERIODS:    1
ALPHA:       0.01
PHI:         1
X0:          0
Z0:          -1
               TIME:                   X                   Z
                   0                   0                  -1
                0.01         1.30894e-06                  -1
                0.02         3.49026e-06                  -1
                0.03         6.54371e-06                  -1
                0.04          1.0469e-05                  -1
                0.05         1.52656e-05                  -1
                0.06         2.09333e-05                  -1
                0.07         2.74714e-05                  -1
                0.08         3.48794e-05                  -1
                0.09         4.31566e-05                  -1
                 0.1         5.23022e-05                  -1
                0.11         6.23157e-05                  -1
                0.12         7.31959e-05                  -1
                0.13         8.49422e-05                  -1
                0.14         9.75534e-05                  -1
                0.15         0.000111029                  -1
                0.16         0.000125367                  -1
                0.17         0.000140566                  -1
                0.18         0.000156626                  -1
                0.19         0.000173546                  -1
                 0.2         0.000191322                  -1
                0.21         0.000209956                  -1
                0.22         0.000229444                  -1
                0.23         0.000249785                  -1
                0.24         0.000270978                  -1
                0.25         0.000293021                  -1
                0.26         0.000315912                  -1
                0.27         0.000339649                  -1
                0.28         0.000364231                  -1
                0.29         0.000389656                  -1
                 0.3         0.000415921                  -1
                0.31         0.000443024                  -1
                0.32         0.000470964                  -1
                0.33         0.000499738                  -1
                0.34         0.000529344                  -1
                0.35          0.00055978                  -1
                0.36         0.000591042                  -1
                0.37          0.00062313                  -1
                0.38         0.000656039                  -1
                0.39         0.000689769                  -1
                 0.4         0.000724315                  -1
                0.41         0.000759676                  -1
                0.42         0.000795848                  -1
                0.43         0.000832829                  -1
                0.44         0.000870616                  -1
                0.45         0.000909206                  -1
                0.46         0.000948597                  -1
                0.47         0.000988784                  -1
                0.48          0.00102976                  -1
                0.49          0.00107154                  -1
                 0.5           0.0011141                  -1
                0.51          0.00115744                  -1
                0.52          0.00120156                  -1
                0.53          0.00124647                  -1
                0.54          0.00129214                  -1
                0.55          0.00133859                  -1
                0.56           0.0013858                  -1
                0.57          0.00143378                  -1
                0.58          0.00148251                  -1
                0.59          0.00153201                  -1
                 0.6          0.00158225                  -1
                0.61          0.00163324                  -1
                0.62          0.00168498                  -1
                0.63          0.00173746                  -1
                0.64          0.00179067                  -1
                0.65          0.00184462                  -1
                0.66          0.00189929                  -1
                0.67          0.00195469                  -1
                0.68          0.00201081                  -1
                0.69          0.00206764                  -1
                 0.7          0.00212518                  -1
                0.71          0.00218344                  -1
                0.72          0.00224239                  -1
                0.73          0.00230204                  -1
                0.74          0.00236239                  -1
                0.75          0.00242342                  -1
                0.76          0.00248514                  -1
                0.77          0.00254754                  -1
                0.78          0.00261061                  -1
                0.79          0.00267435                  -1
                 0.8          0.00273876                  -1
                0.81          0.00280382                  -1
                0.82          0.00286955                  -1
                0.83          0.00293592                  -1
                0.84          0.00300294                  -1
                0.85           0.0030706                  -1
                0.86          0.00313889                  -1
                0.87          0.00320781                  -1
                0.88          0.00327736                  -1
                0.89          0.00334753                  -1
                 0.9          0.00341831                  -1
                0.91           0.0034897                  -1
                0.92          0.00356169                  -1
                0.93          0.00363429                  -1
                0.94          0.00370747                  -1
                0.95          0.00378124                  -1
                0.96          0.00385559                  -1
                0.97          0.00393052                  -1
                0.98          0.00400602                  -1
                0.99          0.00408208                  -1
                   1          0.00415871                  -1
                1.01          0.00423588                  -1
                1.02           0.0043136                  -1
                1.03          0.00439187                  -1
                1.04          0.00447066                  -1
                1.05          0.00454999                  -1
                1.06          0.00462984                  -1
                1.07          0.00471021                  -1
                1.08          0.00479109                  -1
                1.09          0.00487248                  -1
                 1.1          0.00495436                  -1
                1.11          0.00503674                  -1
                1.12          0.00511961                  -1
                1.13          0.00520295                  -1
                1.14          0.00528677                  -1
                1.15          0.00537106                  -1
                1.16          0.00545581                  -1
                1.17          0.00554102                  -1
                1.18          0.00562668                  -1
                1.19          0.00571277                  -1
                 1.2          0.00579931                  -1
                1.21          0.00588627                  -1
                1.22          0.00597366                  -1
                1.23          0.00606146                  -1
                1.24          0.00614968                  -1
                1.25           0.0062383                  -1
                1.26          0.00632731                  -1
                1.27          0.00641672                  -1
                1.28           0.0065065                  -1
                1.29          0.00659667                  -1
                 1.3           0.0066872                  -1
                1.31           0.0067781                  -1
                1.32          0.00686936                  -1
                1.33          0.00696096                  -1
                1.34          0.00705291                  -1
                1.35           0.0071452                  -1
                1.36          0.00723781                  -1
                1.37          0.00733075                  -1
                1.38            0.007424                  -1
                1.39          0.00751756                  -1
                 1.4          0.00761142                  -1
                1.41          0.00770557                  -1
                1.42          0.00780001                  -1
                1.43          0.00789473                  -1
                1.44          0.00798973                  -1
                1.45          0.00808499                  -1
                1.46          0.00818051                  -1
                1.47          0.00827628                  -1
                1.48           0.0083723                  -1
                1.49          0.00846856                  -1
                 1.5          0.00856504                  -1
                1.51          0.00866175                  -1
                1.52          0.00875867                  -1
                1.53          0.00885581                  -1
                1.54          0.00895314                  -1
                1.55          0.00905067                  -1
                1.56          0.00914839                  -1
                1.57          0.00924628                  -1
                1.58          0.00934435                  -1
                1.59          0.00944258                  -1
                 1.6          0.00954097                  -1
                1.61          0.00963952                  -1
                1.62           0.0097382                  -1
                1.63          0.00983702                  -1
                1.64          0.00993597                  -1
                1.65            0.010035                  -1
                1.66           0.0101342                  -1
                1.67           0.0102335                  -1
                1.68           0.0103329                  -1
                1.69           0.0104324                  -1
                 1.7           0.0105319                  -1
                1.71           0.0106316                  -1
                1.72           0.0107313                  -1
                1.73           0.0108311                  -1
                1.74           0.0109309                  -1
                1.75           0.0110308                  -1
                1.76           0.0111307                  -1
                1.77           0.0112306                  -1
                1.78           0.0113306                  -1
                1.79           0.0114306                  -1
                 1.8           0.0115306                  -1
                1.81           0.0116306                  -1
                1.82           0.0117306                  -1
                1.83           0.0118306                  -1
                1.84           0.0119305                  -1
                1.85           0.0120305                  -1
                1.86           0.0121304                  -1
                1.87           0.0122302                  -1
                1.88             0.01233                  -1
                1.89           0.0124298                  -1
                 1.9           0.0125295                  -1
                1.91           0.0126291                  -1
                1.92           0.0127286                  -1
                1.93           0.0128281                  -1
                1.94           0.0129274                  -1
                1.95           0.0130267                  -1
                1.96           0.0131258                  -1
                1.97           0.0132248                  -1
                1.98           0.0133237                  -1
                1.99           0.0134225                  -1
                   2           0.0135211                  -1
                2.01           0.0136196                  -1
                2.02            0.013718                  -1
                2.03           0.0138161                  -1
                2.04           0.0139141                  -1
                2.05            0.014012                  -1
                2.06           0.0141096                  -1
                2.07           0.0142071                  -1
                2.08           0.0143043                  -1
                2.09           0.0144014                  -1
                 2.1           0.0144983                  -1
                2.11           0.0145949                  -1
                2.12           0.0146913                  -1
                2.13           0.0147875                  -1
                2.14           0.0148834                  -1
                2.15           0.0149791                  -1
                2.16           0.0150745                  -1
                2.17           0.0151697                  -1
                2.18           0.0152646                  -1
                2.19           0.0153592                  -1
                 2.2           0.0154535                  -1
                2.21           0.0155476                  -1
                2.22           0.0156413                  -1
                2.23           0.0157348                  -1
